Q: http://ssd.jpl.nasa.gov/sbdb_query.cgi#x, alle Asteroiden aus dem Main-belt  mit Durchmesser größer 10 km 
name,diameter,e,a,orbital_period_in_years,albedo,period_of_rot_in_h,GM
"     1 Ceres",952.4,.07570505680427501,2.768134212175293,4.60562863534541,0.090,9.074170,63.2
"     2 Pallas",545,.2308348499207975,2.772779339843981,4.61722635997388,0.1587,7.8132,14.3
"     3 Juno",233.92,.2566013263279949,2.668830767170921,4.36003279352375,0.2383,7.210,
"     4 Vesta",530,.08906673774017462,2.361348199280398,3.6286764832206,0.4228,5.342,17.8
"     5 Astraea",119.07,.1915522146667077,2.574342611972173,4.13054844770439,0.2268,16.806,
"     6 Hebe",185.18,.2022303407069146,2.426216076420658,3.77922210705187,0.2679,7.2745,
"     7 Iris",199.83,.2313941303984472,2.385229755645019,3.68386350286208,0.2766,7.139,
"     8 Flora",135.89,.1569996452722062,2.201068551641445,3.26556667454301,0.2426,12.865,
"     9 Metis",190,.1219764105986603,2.386037297523615,3.68573447094715,0.118,5.079,
"    10 Hygiea",407.12,.1133053892798866,3.141917999346701,5.56929819279045,0.0717,27.630,7.
"    11 Parthenope",153.33,.100348191910541,2.452855029880031,3.84163433081519,0.1803,13.7204,
"    12 Victoria",112.77,.2206978526541958,2.334175388474547,3.56622245779553,0.1765,8.6599,
"    13 Egeria",207.64,.08365858072159114,2.576525883591822,4.13580417061814,0.0825,7.045,
"    14 Irene",152,.1664526494184216,2.585651221809051,4.15779541612815,0.159,15.028,
"    15 Eunomia",255.33,.1871469382563032,2.643233562128039,4.29745672798263,0.2094,6.083,
"    16 Psyche",253.16,.1359391883722294,2.921990428376531,4.99489525959255,0.1203,4.196,4.49
"    17 Thetis",90.04,.1324690531234518,2.470992552911327,3.88432318473512,0.1715,12.27048,
"    18 Melpomene",140.57,.2189506826693323,2.2954825383421,3.47791683204177,0.2225,11.570,
"    19 Fortuna",200,.1587999456490496,2.441949533113159,3.81604272692265,0.037,7.4432,
"    20 Massalia",145.50,.1425514221264073,2.408926291518261,3.73889672826286,0.2096,8.098,
"    21 Lutetia",95.76,.1646109676782466,2.434460861699387,3.7985023339053,0.2212,8.1655,
"    22 Kalliope",181.00,.09933777584186589,2.910046839509517,4.96430174454712,0.1419,4.1483,0.491
"    23 Thalia",107.53,.2355552348978853,2.624538191329177,4.25194411255114,0.2536,12.312,
"    24 Themis",198,.1254993143279289,3.136664482587844,5.55533562242443,0.067,8.374,
"    25 Phocaea",75.13,.2544392111716284,2.401060075433635,3.72059794513218,0.2310,9.9341,
"    26 Proserpina",94.80,.09071923285986022,2.654053912804291,4.32387184232958,0.1966,13.110,
"    27 Euterpe",96,.1724443413156224,2.347360680596365,3.59648241175562,0.162,10.4082,
"    28 Bellona",120.90,.152118588801206,2.776311132742656,4.62605086973767,0.1763,15.706,
"    29 Amphitrite",212.22,.07177434319063193,2.554345839756484,4.08251461435017,0.1793,5.3921,
"    30 Urania",100.15,.1265838499837584,2.366387710338676,3.64029898041232,0.1714,13.686,
"    31 Euphrosyne",255.90,.2215109807021677,3.156312568086983,5.60761526387217,0.0543,5.530,
"    32 Pomona",80.76,.08029950068137844,2.588181596583878,4.1639002732515,0.2564,9.448,
"    34 Circe",113.54,.104648801882871,2.687544333557835,4.4059712391252,0.0541,12.15,
"    35 Leukothea",103.11,.2261159571592215,2.992144485623694,5.17585431631012,0.0662,31.900,
"    36 Atalante",105.61,.3021350140957859,2.750586325433002,4.56190378774614,0.0654,9.93,
"    37 Fides",108.35,.1744559465870883,2.643844713568518,4.29894725953239,0.1826,7.3335,
"    38 Leda",115.93,.1554697888025702,2.738399089471275,4.53161822607485,0.0618,12.838,
"    39 Laetitia",149.52,.1135709590783617,2.767880394992634,4.60499519737001,0.2869,5.138,
"    40 Harmonia",107.62,.04640644869021705,2.267953969065136,3.41554141649951,0.2418,8.910,
"    41 Daphne",174.00,.2757336059367629,2.759554184905559,4.58423203057144,0.0828,5.988,
"    42 Isis",100.20,.2222403800952338,2.442131782595359,3.81646993770917,0.1712,13.590,
